gene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ABHD17AP8,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0
ABHD17B,195,194,166,156,160,305,158,217
ABHD17C,337,460,457,377,536,1040,467,592
ABHD18,129,142,170,116,193,192,143,158
ABHD2,1647,1300,1628,1195,1582,3214,2054,2699
ABHD3,68,104,109,80,81,112,41,111
ABHD4,2152,1661,2696,1245,2863,2366,1991,1980
ABHD5,586,1488,820,1040,1219,1886,581,1656
ABHD6,106,103,95,81,115,154,66,90
ABHD8,315,312,379,190,355,373,333,342
ABI1,1173,1036,1211,874,1153,1484,1036,1276
ABI1P1,0,0,1,0,0,0,0,0
ABI2,1228,808,1583,761,1848,1783,1208,1184
ABI3,0,0,0,1,4,1,0,0
ABI3BP,8438,7217,7584,3787,6105,7799,6261,8588
ABITRAM,284,193,299,196,370,487,308,262
ABITRAMP1,0,0,0,0,0,0,0,0
ABL1,6333,5766,7101,3188,7948,8384,5138,5476
ABL2,1035,1051,993,950,1017,1939,871,1756
ABLIM1,434,1046,750,899,458,1419,358,1387
ABLIM2,1,1,0,0,2,42,1,5
ABLIM3,2392,2241,2976,1344,3759,2751,1490,1457
ABO,4,5,11,3,12,7,4,7
ABR,2427,1469,2694,1399,3575,2634,3087,1918
ABRA,0,0,3,0,2,5,0,1
ABRACL,172,209,97,87,162,334,141,193
ABRAXAS1,477,410,548,322,502,500,425,396
ABRAXAS1P1,0,0,0,0,0,0,0,0
ABRAXAS1P2,4,1,2,0,0,7,1,8
ABRAXAS2,390,402,532,364,498,665,362,412
ABT1,259,244,294,161,260,349,211,250
ABT1P1,0,0,0,0,1,0,0,0
ABTB1,932,1074,1079,855,795,1319,750,1310
ABTB2,257,253,307,222,177,225,230,308
ABTB3,33,62,17,8,11,43,17,8
ACAA1,647,748,964,547,951,938,600,669
ACAA2,1048,1075,1196,938,1324,1686,1208,1318
ACAA2P1,0,0,0,0,1,0,0,0
ACACA,1165,645,1254,574,1165,1349,553,649
ACACB,325,481,624,371,223,286,450,398
ACAD10,529,439,654,348,662,774,551,469
ACAD11,1133,884,1917,537,1413,1148,1190,786
ACAD8,438,366,401,333,480,557,394,389
ACAD9,611,532,679,332,622,792,514,477
ACADL,12,18,22,22,7,11,13,26
ACADM,486,400,522,367,388,581,399,555
ACADS,292,550,457,545,306,627,449,896
ACADSB,440,536,680,487,801,1010,541,661
ACADVL,3539,3055,3225,1837,3468,4622,3899,3901
ACAN,15,6,442,339,132,1234,141,107
ACAP1,72,74,90,49,33,64,66,46
ACAP2,2126,1454,2554,1249,3026,2860,2184,1950
ACAP3,1533,1135,1411,451,1311,1038,1266,821
ACAT1,943,1136,1344,1008,1192,1198,1153,1268
ACAT2,198,217,216,120,211,298,171,163
ACBD3,1531,1313,1556,1071,1773,2174,1367,1326
ACBD4,204,213,366,208,224,283,236,242
ACBD5,712,627,811,453,956,913,641,720
ACBD6,899,596,975,509,1076,1018,758,600
ACBD7,3,7,26,15,15,23,14,13
ACBD7P1,0,0,0,0,2,1,0,0
ACCS,374,289,553,324,666,763,314,271
ACCSL,0,0,0,0,0,0,0,0
ACCSLP1,0,0,0,0,0,0,0,0
ACD,266,210,247,146,240,311,193,219
ACE,130,99,170,95,249,289,166,137
ACE2,0,0,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0,0,0
ACER1,0,1,1,1,0,1,0,2
ACER2,48,19,42,23,38,30,32,30
ACER2P1,0,0,0,0,0,0,0,0
ACER3,197,289,300,309,340,675,173,406
ACHE,4,3,9,8,7,4,7,7
ACIN1,5307,3458,5679,2361,6404,5141,4417,3277
ACKR1,0,1,0,0,0,2,0,1
ACKR2,21,31,11,19,26,38,19,91
ACKR3,1762,1206,1776,908,1263,885,1731,2053
ACKR4,1469,651,2241,297,2082,1432,3063,867
ACKR4P1,0,0,0,0,0,2,2,0
ACKR5,1,0,1,0,0,0,0,1
ACLY,3981,4006,3795,2125,4267,5846,2998,3364
ACMSD,12,5,10,9,13,14,5,10
ACNATP,0,0,0,0,0,0,0,0
ACO1,2800,2782,3471,2013,4375,5435,2478,2332
ACO2,1773,1734,2027,1189,2023,2236,1365,1771
ACO2P1,0,0,0,0,0,0,0,1
ACO2P2,0,0,0,0,0,0,0,0
ACOD1,0,0,0,0,0,0,0,0
ACOT1,71,99,70,51,16,96,59,104
ACOT11,205,160,320,133,271,286,228,184
ACOT12,29,8,37,7,57,16,31,9
ACOT13,507,369,560,240,868,692,387,338
ACOT2,295,474,330,271,383,1022,288,397
ACOT4,5,25,8,4,3,6,6,14
ACOT4P1,1,0,0,0,0,0,1,0
ACOT6,0,0,0,0,0,0,1,0
ACOT7,526,464,651,367,560,724,524,461
ACOT8,432,375,501,242,459,496,403,374
ACOT9,820,1023,989,708,832,1255,758,1005
ACOX1,882,798,1034,539,1130,1125,833,709
ACOX2,513,364,579,308,513,438,456,356
ACOX3,409,269,430,181,468,543,251,288
ACOXL,9,8,15,12,24,15,18,18
ACP1,974,849,1113,740,1184,1430,763,892
ACP2,411,430,672,503,607,885,407,587
ACP3,26,16,21,5,23,23,23,9
ACP4,0,0,2,1,0,0,2,0
ACP5,22,7,92,20,112,46,27,9
ACP6,249,133,128,85,294,336,188,196
ACP7,10,3,6,7,6,8,6,6
ACR,1,0,0,0,0,0,0,0
ACRBP,5,5,10,2,9,7,5,7
ACRP1,0,0,0,0,1,0,0,0
ACRV1,3,0,1,1,0,2,1,2
ACSBG1,22,14,43,6,34,55,22,25
ACSBG2,4,0,5,5,15,6,5,5
ACSF2,413,408,408,238,551,515,299,378
ACSF3,363,325,346,221,536,696,313,491
ACSL1,622,1628,787,1569,956,2816,781,2497
ACSL3,3382,2531,4254,2183,2956,2491,2510,1801
ACSL3P1,0,0,0,0,0,0,0,0
ACSL4,4068,2440,3486,1631,7392,6518,3509,3032
ACSL5,129,131,134,50,124,92,139,118
ACSL6,28,39,14,9,22,11,14,36
ACSM1,0,0,0,0,0,0,0,0
ACSM2A,8,9,37,19,27,32,26,16
ACSM2B,29,16,13,19,6,19,18,15
ACSM3,24,26,35,24,33,26,34,12
ACSM4,1,0,0,0,1,2,0,0
ACSM5,0,1,2,0,2,2,0,0
ACSM5P1,0,0,0,0,0,0,0,0
ACSM6,1,2,1,2,3,3,1,2
ACSS1,280,918,361,822,197,872,374,1287
ACSS2,653,797,724,440,870,987,411,714
ACSS3,742,546,807,568,1007,1246,631,809
ACTA1,0,3,2,1,1,1,0,0
ACTA2,2867,4638,5917,7359,4448,13343,2834,5565
ACTB,55989,76951,84200,82671,63999,208368,53936,91338
ACTBL2,0,0,0,0,0,1,0,0
ACTBP1,0,0,1,0,0,0,0,2
ACTBP11,0,0,0,1,1,0,2,0
ACTBP12,0,0,0,0,0,0,0,0
ACTBP14,0,1,0,0,0,0,0,1
ACTBP15,0,0,0,4,2,1,0,3
ACTBP16,0,1,0,0,0,0,0,0
ACTBP2,0,1,2,0,0,4,1,0
ACTBP6,1,3,0,1,0,0,0,0
ACTBP7,1,1,3,0,0,1,0,1
ACTBP8,0,1,1,0,0,0,1,1
ACTBP9,0,0,0,0,0,0,0,0
ACTC1,1,1,1,4,17,8,0,4
ACTE1P,1,6,8,1,13,6,4,6
ACTG1,41551,46328,63098,46942,48515,115031,46634,68515
ACTG1P1,1,0,6,1,4,3,3,4
ACTG1P10,8,7,11,2,12,10,9,12
ACTG1P11,0,1,0,0,0,0,0,0
ACTG1P12,0,0,0,1,0,0,0,0
ACTG1P13,0,0,0,0,0,0,0,0
ACTG1P14,0,1,0,0,0,0,1,0
ACTG1P15,2,2,2,0,1,4,3,0
ACTG1P16,0,0,0,0,0,1,1,0
ACTG1P17,1,4,8,10,14,6,4,1
ACTG1P18,0,0,0,1,0,0,0,0
ACTG1P19,0,0,0,0,0,0,0,0
ACTG1P2,0,1,0,0,0,0,0,0
ACTG1P20,1,8,8,0,8,3,5,6
ACTG1P21,0,0,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0,0,0
ACTG1P23,0,0,0,0,1,0,1,0
ACTG1P24,3,1,0,0,1,1,0,1
ACTG1P25,10,2,10,3,5,13,7,4
ACTG1P3,2,1,6,2,6,1,7,2
ACTG1P4,0,0,1,0,0,0,0,1
ACTG1P9,5,6,5,2,8,7,12,1
ACTG2,262,824,555,854,863,6240,403,735
ACTL11P,0,0,2,0,0,0,1,1
ACTL6A,515,437,555,303,628,687,374,399
ACTL6B,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,1,0,0,0
ACTL8,2,2,0,0,41,6,3,0
ACTL9,0,0,0,0,0,0,0,0
ACTMAP,264,172,317,182,250,277,218,240
ACTN1,10271,11201,13252,9168,12683,29948,10263,11299
ACTN2,10,35,6,8,0,0,1,25
ACTN3,1,0,1,2,0,2,3,4
ACTN4,5116,6391,6967,5701,5915,17679,4454,8276
ACTN4P1,0,0,2,1,0,1,0,0
ACTN4P2,1,0,0,0,0,0,0,1
ACTP1,0,0,0,1,0,0,0,0
ACTR10,1366,1065,1444,890,1639,1865,1155,1159
ACTR1A,3312,3276,3520,2237,3499,4215,2576,3069
ACTR1AP1,0,0,0,0,1,1,0,1
ACTR1B,851,801,1041,558,842,1164,784,900
ACTR2,5296,5090,5725,3854,4849,8134,4612,5185
ACTR2P1,1,0,0,0,0,0,0,0
ACTR2P2,1,0,0,0,0,0,0,0
ACTR3,3121,3684,3458,2513,3537,7789,2783,3708
ACTR3B,83,60,134,64,73,149,68,73
ACTR3BP1,0,0,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0
ACTR3BP3,0,0,0,0,0,0,0,0
ACTR3BP4,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0
ACTR3BP7,0,0,0,0,0,0,0,0
ACTR3C,12,9,19,2,4,14,2,8
ACTR3P2,0,0,0,0,0,0,0,0
ACTR3P3,0,0,0,0,0,0,0,0
ACTR5,92,79,97,51,113,139,67,67
ACTR6,342,222,326,238,298,320,248,254
ACTR6P1,0,0,0,0,0,0,0,0
ACTR8,721,509,828,353,744,806,648,600
ACTRT1,0,0,0,0,0,0,0,0
ACTRT1P1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,51,84,113,49,80,104,92,88
ACVR1,1773,1472,1708,1044,1919,2044,1545,1502
ACVR1B,712,687,775,548,708,1259,594,854
ACVR1C,43,12,31,6,21,16,46,10
ACVR2A,189,211,324,167,255,257,289,244
ACVR2B,109,87,98,67,121,141,86,124
ACVRL1,794,1191,782,663,642,1360,555,1028
ACY1,301,252,348,180,278,416,267,295
ACY3,0,0,0,0,0,0,0,0
ACYP1,148,128,161,89,259,78,131,88
ACYP2,117,109,193,131,179,223,133,160
ADA,91,82,137,47,318,194,104,73
ADA2,935,573,725,370,878,695,530,410
ADAD1,0,0,0,0,0,0,0,0
ADAD1P1,0,0,3,0,1,3,2,1
ADAD1P2,0,0,0,0,0,0,0,0
ADAD2,0,1,0,0,1,3,0,1
ADAM10,3749,2869,4487,2505,4363,5438,3195,3502
ADAM11,41,19,62,26,40,55,30,20
ADAM12,2254,482,3145,398,2847,1129,1262,413
ADAM15,1596,1469,1711,974,1516,1670,1340,1545
ADAM17,1129,1254,1226,1287,1436,1978,1212,1924
ADAM18,0,0,0,0,0,0,0,0
ADAM19,617,607,763,794,750,942,516,1035
ADAM1A,0,0,0,0,0,0,0,0
ADAM1B,10,6,4,4,4,9,5,3
ADAM2,0,0,0,0,0,0,0,0
ADAM20,0,0,1,0,0,2,0,0
ADAM20P2,0,0,0,0,0,0,0,0
ADAM20P3,0,0,0,0,0,0,0,0
ADAM21,18,7,18,14,13,15,16,10
ADAM21P1,1,2,1,0,1,0,1,0
ADAM22,28,19,18,20,15,19,20,12
ADAM23,81,131,1067,787,285,353,718,1040
ADAM24P,0,0,0,0,0,0,0,0
ADAM28,4,15,14,2,13,55,16,23
ADAM29,7,3,5,1,3,5,6,1
ADAM30,0,0,0,0,0,0,0,0
ADAM32,82,80,146,69,128,152,90,99
ADAM33,9384,8965,8202,3730,6677,6462,5240,5101
ADAM3A,1,0,0,1,3,2,3,0
ADAM3B,0,0,0,0,0,0,0,0
ADAM5,0,1,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0,0,0
ADAM8,23,21,29,8,26,31,37,12
ADAM9,15192,15060,20778,13537,19012,22075,15333,16521
ADAMDEC1,7,4,3,2,3,2,7,4
ADAMTS1,6515,34606,13863,32981,12088,65524,13361,58310
ADAMTS10,512,366,462,246,454,427,375,325
ADAMTS12,660,544,1667,757,919,1522,722,654
ADAMTS13,106,99,141,76,65,79,71,97
ADAMTS14,1334,204,1484,120,1908,601,1030,151
ADAMTS15,1070,2077,1743,1177,1320,1193,1022,1978
ADAMTS16,5,1,5,1,4,3,6,1
ADAMTS17,7,23,7,4,4,14,0,7
ADAMTS18,0,0,1,0,0,0,0,0
ADAMTS19,16,5,5,0,6,4,4,0
ADAMTS2,3216,5277,4301,3189,3830,7340,3520,5944
ADAMTS20,0,0,0,0,0,0,0,0
ADAMTS3,116,199,407,236,122,282,185,361
ADAMTS4,45,114,114,110,65,55,106,74
ADAMTS5,589,5029,2975,5744,1928,5078,798,6962
ADAMTS6,162,172,278,94,258,234,57,79
ADAMTS7,1057,1221,1859,1968,1115,2794,1193,2395
ADAMTS7P1,7,8,9,13,10,13,6,7
ADAMTS7P3,10,8,5,6,7,18,12,13
ADAMTS7P4,23,21,22,11,25,19,13,21
ADAMTS7P5,0,0,0,0,0,0,0,0
ADAMTS8,4938,6639,6827,2706,9349,15079,2858,3067
ADAMTS9,41,35,37,22,26,63,50,32
ADAMTSL1,1117,680,3432,910,1446,607,2128,1455
ADAMTSL2,2,3,1,1,5,4,0,2
ADAMTSL3,84,68,112,65,110,141,91,84
ADAMTSL4,2220,4085,3551,3359,1886,3753,3149,6453
ADAMTSL5,386,284,559,354,265,425,524,608
ADAP1,5,28,27,63,8,30,8,44
ADAP2,27,5,54,34,19,24,27,11
ADAR,5645,4144,5654,2928,6037,6919,4701,4323
ADARB1,268,1076,1107,2123,889,7266,636,3088
ADARB2,2,2,1,3,4,2,4,0
ADAT1,270,252,289,172,363,291,218,213
ADAT2,169,95,345,91,289,179,233,66
ADAT3,35,44,26,17,20,24,17,39
ADCK1,102,107,128,57,126,124,127,109
ADCK2,242,300,307,251,233,363,277,426
ADCK5,101,120,141,80,129,126,106,116
ADCY1,1588,327,320,10,197,47,367,63
ADCY10,1,4,7,4,3,8,0,4
ADCY10P1,59,28,30,35,72,46,22,37
ADCY2,17,14,21,18,102,117,7,26
ADCY3,1171,1050,1689,1284,1573,3156,1660,2316
ADCY4,162,81,219,41,170,111,151,39
ADCY5,26,26,78,37,49,44,37,69
ADCY6,1881,1551,2407,1363,2557,3128,1814,1969
ADCY7,261,307,287,127,166,222,261,293
ADCY8,46,5,10,1,39,5,82,5
ADCY9,1708,1502,1985,1088,1982,3228,2022,2227
ADCYAP1,0,0,0,0,0,0,1,0
ADCYAP1R1,5,1,2,0,0,1,2,0
ADD1,6923,6352,8469,5623,8673,11141,6069,7746
ADD2,1,1,4,1,21,2,6,1
ADD3,5500,4798,7002,3453,6144,6116,5140,5897
ADGB,8,14,10,9,29,26,11,20
ADGRA1,0,0,0,0,0,0,0,0
ADGRA2,11137,6620,11659,5319,11307,13568,11468,9157
ADGRA3,818,452,664,257,1259,739,804,480
ADGRA3P1,25,8,26,5,12,5,26,6
ADGRB1,3,0,1,1,1,1,5,0
ADGRB2,595,353,622,228,737,586,737,404
ADGRB3,3,2,2,0,0,2,1,0
ADGRD1,7681,9542,10081,8368,4729,10075,6123,11917
ADGRD2,12,9,10,6,15,15,9,7
ADGRE1,2,2,7,1,11,1,1,0
ADGRE2,13,12,11,9,14,22,10,11
ADGRE3,0,0,0,0,0,0,0,0
ADGRE4P,0,0,1,0,1,1,1,0
ADGRE5,519,408,684,660,370,863,967,1023
ADGRF1,13,5,19,4,18,16,9,5
ADGRF2P,1,1,2,0,0,0,0,1
ADGRF3,27,13,31,7,9,29,22,19
ADGRF4,0,0,0,0,0,1,0,1
ADGRF5,0,0,1,0,22,45,0,2
ADGRF5P1,7,1,0,1,2,0,4,0
ADGRF5P2,0,0,0,0,0,0,0,0
ADGRG1,50,19,71,49,119,69,40,57
ADGRG2,10,23,20,11,21,20,24,18
ADGRG3,0,0,0,0,0,0,0,0
ADGRG4,0,0,0,0,1,0,0,0
ADGRG5,0,0,1,0,0,2,0,0
ADGRG6,1116,1374,622,587,366,541,404,1250
ADGRG7,0,0,1,0,0,0,0,0
ADGRL1,563,398,412,244,475,360,558,437
ADGRL2,2730,2369,3092,1312,1511,1607,2356,1880
ADGRL3,1,1,3,2,30,3,6,1
ADGRL4,167,105,185,71,544,435,164,98
ADGRV1,4,13,20,1,22,17,2,12
ADH1A,43,51,235,382,232,412,197,480
ADH1B,28228,63801,33946,43937,34834,57118,26503,62602
ADH1C,27,45,99,79,78,101,43,54
ADH4,14,4,16,45,17,39,12,11
ADH5,7268,7967,8426,7069,9332,12225,6632,7726
ADH5P2,0,0,1,0,0,0,0,0
ADH5P3,0,2,0,0,0,2,0,0
ADH5P4,0,1,1,0,1,2,0,0
ADH5P5,0,0,0,0,0,0,4,2
ADH6,26,43,28,47,53,88,26,57
ADH7,0,3,2,0,68,81,1,1
ADHFE1,140,312,254,346,135,280,200,506
ADI1,1263,1674,1722,1528,1283,2283,974,1668
ADI1P1,0,0,0,0,0,0,0,0
ADI1P2,0,0,0,0,0,0,0,0
ADI1P3,0,0,0,0,0,0,0,0
ADIG,0,0,0,0,0,0,0,0
ADIPOQ,1,5,5,2,10,7,3,6
ADIPOR1,1342,1398,1836,1308,1934,2598,1206,1783
ADIPOR1P1,0,0,0,0,0,0,0,0
ADIPOR1P2,0,0,0,0,0,0,0,0
ADIPOR2,1055,1009,1170,894,1174,1576,901,1114
ADIRF,169,170,430,226,239,220,382,399
ADISSP,609,456,538,423,454,626,462,581
ADISSPP1,10,4,12,7,12,10,12,7
ADISSPP2,1,1,0,0,1,0,1,4
ADK,405,349,532,317,498,490,388,412
ADM,13310,17355,18466,14745,11358,31128,14714,20620
ADM2,139,13,165,18,56,18,92,12
ADM5,3,5,1,2,3,2,2,3
ADNP,1806,1295,2123,977,2264,2144,1716,1343
ADNP2,476,434,539,338,783,687,386,456
ADO,426,328,456,266,423,545,361,374
ADORA1,46,8,100,21,51,40,93,26
ADORA2A,4,8,2,12,7,11,4,3
ADORA2B,117,57,85,25,152,181,108,76
ADORA2BP1,1,5,1,3,4,5,0,3
ADORA3,2,0,0,1,0,0,0,0
ADPGK,1248,1060,1272,798,1274,1715,1043,1225
ADPRH,84,84,110,88,75,126,93,95
ADPRHL1,58,24,43,11,69,65,78,50
ADPRM,139,130,187,135,165,202,127,176
ADPRS,406,377,403,240,424,588,337,324
ADRA1A,1,6,3,3,5,6,6,7
ADRA1B,15,295,81,318,12,455,21,351
ADRA1D,20,7,21,14,42,69,10,6
ADRA2A,44,11,77,5,20,15,137,22
ADRA2B,0,1,0,0,2,3,0,0
ADRA2C,1,5,2,3,3,16,0,0
ADRB1,0,1,1,2,1,5,2,0
ADRB2,11,3,21,3,22,26,11,7
ADRB3,1,4,0,0,2,2,3,2
ADRM1,1313,1312,1551,954,1562,2094,1126,1393
ADSL,624,655,765,424,681,1031,613,785
ADSS1,224,110,168,50,157,208,215,117
ADSS2,866,750,1039,673,1180,998,932,800
ADTRP,12,3,13,13,7,11,7,5
AEBP1,10422,6024,17647,10444,14388,16989,10861,10917
AEBP2,680,562,888,365,1021,1082,766,625
AEN,841,719,734,327,890,1154,670,536
AFAP1,2338,1434,3189,855,2939,2779,2504,1887
AFAP1L1,231,868,254,480,308,868,165,790
AFAP1L2,32,8,6,2,12,7,15,4
AFDN,603,539,764,407,774,1039,736,610
AFF1,1123,894,1702,711,1885,1691,936,1191
AFF2,10,7,8,1,0,1,3,0
AFF3,22,10,14,27,35,28,16,5
AFF4,3555,2710,3664,2021,4672,5575,3376,3530
AFF4P1,0,0,0,0,0,1,0,0
AFG1L,90,90,81,57,93,83,79,52
AFG2A,80,75,98,61,111,207,88,85
AFG2B,115,136,109,111,156,152,85,111
AFG3L1P,174,170,254,113,198,217,140,130
AFG3L2,828,813,791,657,889,1094,731,847
AFG3L2P1,0,0,0,0,0,0,0,1
AFM,0,0,0,0,0,0,0,0
AFMID,209,209,317,214,295,469,199,291
AFP,1,2,5,1,11,8,6,2
AFTPH,453,402,583,386,674,746,546,435
AGA,792,462,806,343,561,765,692,527
AGAP1,1144,1025,1115,528,1399,1736,1021,1125
AGAP10P,14,2,22,16,11,12,24,14
AGAP11,20,10,32,16,19,7,30,24
AGAP12P,8,11,9,5,18,7,10,4
AGAP13P,0,4,0,0,4,3,4,4
AGAP14P,0,0,0,0,1,0,0,0
AGAP2,266,326,242,138,234,270,195,230
AGAP3,1330,1321,1217,677,1135,1450,891,1232
AGAP4,149,113,238,98,154,175,130,134
AGAP5,92,76,134,78,115,98,100,64
AGAP6,264,304,341,211,293,375,219,214
AGAP7P,0,4,5,0,0,0,0,0
AGAP9,163,153,203,98,190,175,192,166
AGBL2,34,30,63,26,41,32,27,51
AGBL3,18,26,46,30,46,27,52,40
AGBL4,5,3,3,2,3,2,2,2
AGBL5,676,453,705,434,912,861,507,579
AGER,9,5,26,8,10,8,4,6
AGFG1,1266,1361,1993,1258,2341,3587,1309,2062
AGFG2,190,137,143,116,157,138,161,178
AGGF1,856,750,896,523,1015,1181,762,794
AGGF1P1,3,0,0,0,0,3,0,0
AGGF1P10,0,0,2,0,1,0,1,0
AGGF1P2,3,3,8,2,1,0,1,3
AGGF1P3,1,0,2,1,1,2,1,1
AGGF1P4,0,0,0,0,0,0,0,0
AGGF1P5,0,0,0,0,0,0,0,0
AGGF1P6,0,0,0,0,0,0,0,0
AGGF1P7,0,0,0,0,0,0,0,0
AGGF1P8,1,0,0,0,1,0,0,0
AGGF1P9,0,0,0,0,0,0,0,0
AGK,251,254,292,173,444,440,208,255
